,Age
163,35-44 years old
164,35-44 years old
165,18-24 years old
166,18-24 years old
167,25-34 years old
168,18-24 years old
169,25-34 years old
170,55-64 years old
171,18-24 years old
172,35-44 years old
173,18-24 years old
174,18-24 years old
175,45-54 years old
176,18-24 years old
177,25-34 years old
178,25-34 years old
179,25-34 years old
180,45-54 years old
181,25-34 years old
182,45-54 years old
183,25-34 years old
184,45-54 years old
185,18-24 years old
186,35-44 years old
187,65 years or older
188,35-44 years old
189,25-34 years old
190,
191,25-34 years old
192,18-24 years old
193,18-24 years old
194,55-64 years old
195,25-34 years old
196,25-34 years old
197,18-24 years old
198,25-34 years old
199,35-44 years old
200,45-54 years old
201,25-34 years old
202,25-34 years old
203,25-34 years old
204,25-34 years old
205,25-34 years old
206,
207,25-34 years old
208,35-44 years old
209,35-44 years old
210,35-44 years old
211,18-24 years old
212,18-24 years old
213,65 years or older
214,18-24 years old
215,25-34 years old
216,18-24 years old
217,35-44 years old
218,35-44 years old
219,45-54 years old
220,
221,35-44 years old
222,35-44 years old
223,18-24 years old
224,25-34 years old
225,35-44 years old
226,
227,Under 18 years old
228,35-44 years old
229,25-34 years old
230,
231,18-24 years old
232,35-44 years old
233,25-34 years old
234,25-34 years old
235,45-54 years old
236,25-34 years old
237,25-34 years old
238,55-64 years old
239,65 years or older
240,25-34 years old
241,25-34 years old
242,25-34 years old
243,35-44 years old
244,18-24 years old
245,25-34 years old
246,25-34 years old
247,35-44 years old
248,55-64 years old
249,45-54 years old
250,18-24 years old
251,25-34 years old
252,Under 18 years old
253,35-44 years old
254,18-24 years old
255,35-44 years old
256,25-34 years old
257,25-34 years old
258,25-34 years old
259,25-34 years old
260,25-34 years old
261,18-24 years old
262,18-24 years old
263,35-44 years old
264,35-44 years old
265,25-34 years old
266,25-34 years old
267,25-34 years old
268,25-34 years old
269,25-34 years old
270,18-24 years old
271,25-34 years old
272,35-44 years old
273,45-54 years old
274,35-44 years old
275,25-34 years old
276,18-24 years old
277,25-34 years old
278,25-34 years old
279,35-44 years old
280,35-44 years old
281,18-24 years old
282,18-24 years old
283,25-34 years old
284,25-34 years old
285,25-34 years old
286,25-34 years old
287,25-34 years old
288,25-34 years old
289,18-24 years old
290,18-24 years old
291,25-34 years old
292,25-34 years old
293,25-34 years old
294,25-34 years old
295,35-44 years old
296,25-34 years old
297,35-44 years old
298,25-34 years old
299,25-34 years old
300,25-34 years old
301,18-24 years old
302,18-24 years old
303,55-64 years old
304,25-34 years old
305,25-34 years old
306,Under 18 years old
307,35-44 years old
308,25-34 years old
309,18-24 years old
310,18-24 years old
311,35-44 years old
312,35-44 years old
313,35-44 years old
314,Under 18 years old
315,25-34 years old
316,25-34 years old
317,35-44 years old
318,25-34 years old
319,35-44 years old
320,25-34 years old
321,18-24 years old
322,35-44 years old
323,45-54 years old
324,45-54 years old
325,25-34 years old
326,25-34 years old
327,35-44 years old
328,18-24 years old
329,25-34 years old
330,25-34 years old
331,18-24 years old
332,18-24 years old
333,25-34 years old
334,35-44 years old
335,45-54 years old
336,25-34 years old
337,18-24 years old
338,25-34 years old
339,18-24 years old
340,45-54 years old
341,45-54 years old
342,35-44 years old
343,25-34 years old
344,18-24 years old
345,45-54 years old
346,18-24 years old
347,25-34 years old
348,25-34 years old
349,45-54 years old
350,18-24 years old
351,25-34 years old
352,45-54 years old
353,25-34 years old
354,35-44 years old
355,25-34 years old
356,25-34 years old
357,35-44 years old
358,25-34 years old
359,45-54 years old
360,25-34 years old
361,25-34 years old
362,25-34 years old
363,35-44 years old
364,35-44 years old
365,35-44 years old
366,65 years or older
367,25-34 years old
368,18-24 years old
369,25-34 years old
370,25-34 years old
371,18-24 years old
372,25-34 years old
373,25-34 years old
374,25-34 years old
375,18-24 years old
376,18-24 years old
377,18-24 years old
378,18-24 years old
379,18-24 years old
380,25-34 years old
381,55-64 years old
382,18-24 years old
383,25-34 years old
384,25-34 years old
385,35-44 years old
386,25-34 years old
387,25-34 years old
388,25-34 years old
389,35-44 years old
390,25-34 years old
391,35-44 years old
392,35-44 years old
393,25-34 years old
394,18-24 years old
395,18-24 years old
396,18-24 years old
397,35-44 years old
398,35-44 years old
399,35-44 years old
400,25-34 years old
401,25-34 years old
402,25-34 years old
403,25-34 years old
404,18-24 years old
405,25-34 years old
406,18-24 years old
407,55-64 years old
408,25-34 years old
409,25-34 years old
410,25-34 years old
411,18-24 years old
412,35-44 years old
413,35-44 years old
414,45-54 years old
415,25-34 years old
416,Under 18 years old
417,25-34 years old
418,25-34 years old
419,35-44 years old
420,18-24 years old
421,35-44 years old
422,25-34 years old
423,25-34 years old
424,35-44 years old
425,18-24 years old
426,18-24 years old
427,25-34 years old
428,18-24 years old
429,25-34 years old
430,25-34 years old
431,35-44 years old
432,25-34 years old
433,45-54 years old
434,18-24 years old
435,25-34 years old
436,25-34 years old
437,18-24 years old
438,18-24 years old
439,25-34 years old
440,25-34 years old
441,25-34 years old
442,35-44 years old
443,25-34 years old
444,18-24 years old
445,35-44 years old
446,35-44 years old
447,25-34 years old
448,35-44 years old
449,45-54 years old
450,18-24 years old
451,Prefer not to say
452,18-24 years old
453,55-64 years old
454,25-34 years old
455,25-34 years old
456,18-24 years old
457,Under 18 years old
458,25-34 years old
459,25-34 years old
460,18-24 years old
461,25-34 years old
462,18-24 years old
463,25-34 years old
464,25-34 years old
465,45-54 years old
466,25-34 years old
467,25-34 years old
468,25-34 years old
469,18-24 years old
470,25-34 years old
471,18-24 years old
472,25-34 years old
473,18-24 years old
474,35-44 years old
475,35-44 years old
476,Under 18 years old
477,18-24 years old
478,55-64 years old
479,35-44 years old
480,18-24 years old
481,18-24 years old
482,18-24 years old
483,35-44 years old
484,35-44 years old
485,25-34 years old
486,18-24 years old
487,18-24 years old
488,35-44 years old
489,18-24 years old
490,25-34 years old
491,18-24 years old
492,25-34 years old
493,25-34 years old
494,25-34 years old
495,35-44 years old
496,18-24 years old
497,35-44 years old
498,25-34 years old
499,25-34 years old
500,25-34 years old
501,35-44 years old
502,18-24 years old
503,18-24 years old
504,18-24 years old
505,25-34 years old
506,18-24 years old
507,25-34 years old
508,35-44 years old
509,25-34 years old
510,25-34 years old
511,18-24 years old
512,25-34 years old
513,25-34 years old
514,35-44 years old
515,45-54 years old
516,
517,18-24 years old
518,18-24 years old
519,18-24 years old
520,25-34 years old
521,18-24 years old
522,35-44 years old
523,25-34 years old
524,25-34 years old
525,35-44 years old
526,25-34 years old
527,25-34 years old
528,25-34 years old
529,25-34 years old
530,Prefer not to say
531,45-54 years old
532,18-24 years old
533,18-24 years old
534,25-34 years old
535,18-24 years old
536,25-34 years old
537,25-34 years old
538,35-44 years old
539,25-34 years old
540,25-34 years old
541,35-44 years old
542,
543,45-54 years old
544,25-34 years old
545,18-24 years old
546,25-34 years old
547,25-34 years old
548,25-34 years old
549,35-44 years old
550,25-34 years old
551,25-34 years old
552,25-34 years old
553,25-34 years old
554,25-34 years old
555,18-24 years old
556,25-34 years old
557,25-34 years old
558,35-44 years old
559,35-44 years old
560,25-34 years old
561,25-34 years old
562,25-34 years old
563,25-34 years old
564,35-44 years old
565,35-44 years old
566,18-24 years old
567,25-34 years old
568,18-24 years old
569,55-64 years old
570,25-34 years old
571,18-24 years old
572,35-44 years old
573,35-44 years old
574,25-34 years old
575,55-64 years old
576,25-34 years old
577,25-34 years old
578,25-34 years old
579,18-24 years old
580,55-64 years old
581,25-34 years old
582,25-34 years old
583,35-44 years old
584,25-34 years old
585,25-34 years old
586,35-44 years old
587,18-24 years old
588,18-24 years old
589,25-34 years old
590,25-34 years old
591,25-34 years old
592,25-34 years old
593,
594,25-34 years old
595,35-44 years old
596,55-64 years old
597,18-24 years old
598,25-34 years old
599,35-44 years old
600,18-24 years old
601,18-24 years old
602,25-34 years old
603,18-24 years old
604,18-24 years old
605,18-24 years old
606,45-54 years old
607,25-34 years old
608,35-44 years old
609,25-34 years old
610,18-24 years old
611,45-54 years old
612,25-34 years old
613,18-24 years old
614,35-44 years old
615,35-44 years old
616,35-44 years old
617,55-64 years old
618,35-44 years old
619,25-34 years old
620,45-54 years old
621,25-34 years old
622,25-34 years old
623,18-24 years old
624,35-44 years old
625,18-24 years old
626,18-24 years old
627,55-64 years old
628,55-64 years old
629,25-34 years old
630,25-34 years old
631,45-54 years old
632,18-24 years old
633,35-44 years old
634,35-44 years old
635,55-64 years old
636,35-44 years old
637,35-44 years old
638,35-44 years old
639,Under 18 years old
640,35-44 years old
641,35-44 years old
642,25-34 years old
643,35-44 years old
644,18-24 years old
645,25-34 years old
646,25-34 years old
647,25-34 years old
648,18-24 years old
649,18-24 years old
650,25-34 years old
651,25-34 years old
652,25-34 years old
653,18-24 years old
654,25-34 years old
655,35-44 years old
656,25-34 years old
657,25-34 years old
658,25-34 years old
659,18-24 years old
660,25-34 years old
661,18-24 years old
662,25-34 years old
663,35-44 years old
664,35-44 years old
665,25-34 years old
666,Under 18 years old
667,35-44 years old
668,25-34 years old
669,45-54 years old
670,55-64 years old
671,25-34 years old
672,25-34 years old
673,45-54 years old
674,35-44 years old
675,45-54 years old
676,25-34 years old
677,18-24 years old
678,25-34 years old
679,55-64 years old
680,18-24 years old
681,25-34 years old
682,18-24 years old
683,18-24 years old
684,18-24 years old
685,25-34 years old
686,18-24 years old
687,18-24 years old
688,45-54 years old
689,25-34 years old
690,25-34 years old
691,45-54 years old
692,Under 18 years old
693,18-24 years old
694,25-34 years old
695,18-24 years old
696,25-34 years old
697,18-24 years old
698,35-44 years old
699,25-34 years old
700,18-24 years old
701,25-34 years old
702,35-44 years old
703,18-24 years old
704,45-54 years old
705,
706,35-44 years old
707,18-24 years old
708,18-24 years old
709,25-34 years old
710,Under 18 years old
711,25-34 years old
712,18-24 years old
713,18-24 years old
714,25-34 years old
715,18-24 years old
716,Under 18 years old
717,
718,Prefer not to say
719,18-24 years old
720,25-34 years old
721,55-64 years old
722,25-34 years old
723,25-34 years old
724,35-44 years old
725,25-34 years old
726,18-24 years old
727,25-34 years old
728,18-24 years old
729,35-44 years old
730,25-34 years old
731,18-24 years old
732,18-24 years old
733,18-24 years old
734,35-44 years old
735,25-34 years old
736,25-34 years old
737,18-24 years old
738,25-34 years old
739,25-34 years old
740,18-24 years old
741,25-34 years old
742,Prefer not to say
743,Under 18 years old
744,25-34 years old
745,35-44 years old
746,25-34 years old
747,25-34 years old
748,
749,35-44 years old
750,45-54 years old
751,25-34 years old
752,25-34 years old
753,45-54 years old
754,18-24 years old
755,18-24 years old
756,25-34 years old
757,25-34 years old
758,25-34 years old
759,25-34 years old
760,25-34 years old
761,25-34 years old
762,25-34 years old
763,25-34 years old
764,25-34 years old
765,
766,18-24 years old
767,18-24 years old
768,35-44 years old
769,25-34 years old
770,18-24 years old
771,25-34 years old
772,25-34 years old
773,Prefer not to say
774,45-54 years old
775,35-44 years old
776,25-34 years old
777,25-34 years old
778,25-34 years old
779,25-34 years old
780,35-44 years old
781,25-34 years old
782,18-24 years old
783,25-34 years old
784,35-44 years old
785,25-34 years old
786,25-34 years old
787,18-24 years old
788,35-44 years old
789,18-24 years old
790,25-34 years old
791,
792,25-34 years old
793,18-24 years old
794,18-24 years old
795,35-44 years old
796,35-44 years old
797,18-24 years old
798,18-24 years old
799,25-34 years old
800,25-34 years old
801,25-34 years old
802,35-44 years old
803,25-34 years old
804,35-44 years old
805,35-44 years old
806,25-34 years old
807,18-24 years old
808,18-24 years old
809,35-44 years old
810,35-44 years old
811,45-54 years old
812,18-24 years old
813,18-24 years old
814,45-54 years old
815,35-44 years old
816,25-34 years old
817,45-54 years old
818,35-44 years old
819,18-24 years old
820,35-44 years old
821,35-44 years old
822,18-24 years old
823,35-44 years old
824,Under 18 years old
825,18-24 years old
826,35-44 years old
827,25-34 years old
828,25-34 years old
829,35-44 years old
830,Under 18 years old
831,Under 18 years old
832,18-24 years old
833,35-44 years old
834,18-24 years old
835,18-24 years old
836,Under 18 years old
837,18-24 years old
838,25-34 years old
839,25-34 years old
840,25-34 years old
841,25-34 years old
842,25-34 years old
843,35-44 years old
844,25-34 years old
845,25-34 years old
846,45-54 years old
847,18-24 years old
848,Under 18 years old
849,45-54 years old
850,Under 18 years old
851,35-44 years old
852,35-44 years old
853,25-34 years old
854,25-34 years old
855,25-34 years old
856,65 years or older
857,25-34 years old
858,35-44 years old
859,35-44 years old
860,18-24 years old
861,65 years or older
862,25-34 years old
863,
864,25-34 years old
865,25-34 years old
866,18-24 years old
867,18-24 years old
868,35-44 years old
869,25-34 years old
870,25-34 years old
871,35-44 years old
872,18-24 years old
873,35-44 years old
874,45-54 years old
875,18-24 years old
876,Under 18 years old
877,35-44 years old
878,35-44 years old
879,18-24 years old
880,18-24 years old
881,18-24 years old
882,35-44 years old
883,35-44 years old
884,18-24 years old
885,18-24 years old
886,35-44 years old
887,18-24 years old
888,18-24 years old
889,18-24 years old
890,18-24 years old
891,25-34 years old
892,18-24 years old
893,25-34 years old
894,18-24 years old
895,25-34 years old
896,35-44 years old
897,25-34 years old
898,25-34 years old
899,55-64 years old
900,25-34 years old
901,18-24 years old
902,25-34 years old
903,18-24 years old
904,18-24 years old
905,35-44 years old
906,18-24 years old
907,18-24 years old
908,35-44 years old
909,18-24 years old
910,18-24 years old
911,Prefer not to say
912,25-34 years old
913,25-34 years old
914,Under 18 years old
915,35-44 years old
916,25-34 years old
917,25-34 years old
918,18-24 years old
919,25-34 years old
920,25-34 years old
921,Under 18 years old
922,25-34 years old
923,25-34 years old
924,18-24 years old
925,18-24 years old
926,25-34 years old
927,18-24 years old
928,25-34 years old
929,
930,25-34 years old
931,18-24 years old
932,18-24 years old
933,18-24 years old
934,
935,18-24 years old
936,25-34 years old
937,18-24 years old
938,25-34 years old
939,18-24 years old
940,45-54 years old
941,25-34 years old
942,25-34 years old
943,25-34 years old
944,35-44 years old
945,35-44 years old
946,18-24 years old
947,18-24 years old
948,35-44 years old
949,35-44 years old
950,18-24 years old
951,25-34 years old
952,18-24 years old
953,35-44 years old
954,45-54 years old
955,35-44 years old
956,35-44 years old
957,Under 18 years old
958,45-54 years old
959,25-34 years old
960,Under 18 years old
961,25-34 years old
962,25-34 years old
963,25-34 years old
964,18-24 years old
965,35-44 years old
966,25-34 years old
967,25-34 years old
968,25-34 years old
969,18-24 years old
970,35-44 years old
971,18-24 years old
972,45-54 years old
973,25-34 years old
974,25-34 years old
975,Under 18 years old
976,18-24 years old
977,18-24 years old
978,25-34 years old
979,25-34 years old
980,25-34 years old
981,25-34 years old
982,25-34 years old
983,25-34 years old
984,25-34 years old
985,35-44 years old
986,18-24 years old
987,35-44 years old
988,25-34 years old
989,35-44 years old
990,18-24 years old
991,25-34 years old
992,35-44 years old
993,35-44 years old
994,25-34 years old
995,25-34 years old
996,25-34 years old
997,25-34 years old
998,35-44 years old
999,18-24 years old
1000,45-54 years old
1001,Under 18 years old
1002,55-64 years old
1003,35-44 years old
1004,35-44 years old
1005,25-34 years old
1006,25-34 years old
1007,18-24 years old
1008,25-34 years old
1009,35-44 years old
1010,25-34 years old
1011,25-34 years old
1012,25-34 years old
1013,25-34 years old
1014,25-34 years old
1015,35-44 years old
1016,45-54 years old
1017,35-44 years old
1018,55-64 years old
1019,18-24 years old
1020,35-44 years old
1021,35-44 years old
1022,25-34 years old
1023,25-34 years old
1024,18-24 years old
1025,25-34 years old
1026,25-34 years old
1027,25-34 years old
1028,25-34 years old
1029,35-44 years old
1030,25-34 years old
1031,18-24 years old
1032,25-34 years old
1033,25-34 years old
1034,25-34 years old
1035,Prefer not to say
1036,35-44 years old
1037,18-24 years old
1038,25-34 years old
1039,25-34 years old
1040,35-44 years old
1041,25-34 years old
1042,25-34 years old
1043,25-34 years old
1044,25-34 years old
1045,18-24 years old
1046,45-54 years old
1047,25-34 years old
1048,25-34 years old
1049,35-44 years old
1050,35-44 years old
1051,18-24 years old
1052,35-44 years old
1053,18-24 years old
1054,18-24 years old
1055,18-24 years old
1056,18-24 years old
1057,35-44 years old
1058,18-24 years old
1059,18-24 years old
1060,25-34 years old
1061,18-24 years old
1062,25-34 years old
1063,25-34 years old
1064,18-24 years old
1065,25-34 years old
1066,18-24 years old
1067,25-34 years old
1068,18-24 years old
1069,35-44 years old
1070,18-24 years old
1071,Under 18 years old
1072,18-24 years old
1073,35-44 years old
1074,25-34 years old
1075,25-34 years old
1076,25-34 years old
1077,
1078,18-24 years old
1079,35-44 years old
1080,
1081,25-34 years old
1082,35-44 years old
1083,25-34 years old
1084,25-34 years old
1085,Under 18 years old
1086,18-24 years old
1087,18-24 years old
1088,35-44 years old
1089,25-34 years old
1090,25-34 years old
1091,25-34 years old
1092,Under 18 years old
1093,35-44 years old
1094,18-24 years old
1095,25-34 years old
1096,25-34 years old
1097,35-44 years old
1098,18-24 years old
1099,18-24 years old
1100,25-34 years old
1101,45-54 years old
1102,25-34 years old
1103,35-44 years old
1104,25-34 years old
1105,25-34 years old
1106,35-44 years old
1107,25-34 years old
1108,35-44 years old
1109,35-44 years old
1110,45-54 years old
1111,25-34 years old
1112,18-24 years old
1113,35-44 years old
1114,35-44 years old
1115,25-34 years old
1116,35-44 years old
1117,
1118,Prefer not to say
1119,35-44 years old
1120,18-24 years old
1121,35-44 years old
1122,18-24 years old
1123,18-24 years old
1124,18-24 years old
1125,18-24 years old
1126,18-24 years old
1127,45-54 years old
1128,Prefer not to say
1129,25-34 years old
1130,45-54 years old
1131,35-44 years old
1132,25-34 years old
1133,35-44 years old
1134,18-24 years old
1135,18-24 years old
1136,18-24 years old
1137,25-34 years old
1138,25-34 years old
1139,35-44 years old
1140,45-54 years old
1141,25-34 years old
1142,
1143,25-34 years old
1144,35-44 years old
1145,18-24 years old
1146,18-24 years old
1147,Under 18 years old
1148,
1149,18-24 years old
1150,18-24 years old
1151,25-34 years old
1152,35-44 years old
1153,55-64 years old
1154,35-44 years old
1155,18-24 years old
1156,25-34 years old
1157,18-24 years old
1158,35-44 years old
1159,35-44 years old
1160,18-24 years old
1161,25-34 years old
1162,25-34 years old
1163,25-34 years old
1164,35-44 years old
1165,18-24 years old
1166,25-34 years old
1167,25-34 years old
1168,18-24 years old
1169,18-24 years old
1170,25-34 years old
1171,35-44 years old
1172,25-34 years old
1173,35-44 years old
1174,18-24 years old
1175,25-34 years old
1176,55-64 years old
1177,25-34 years old
1178,45-54 years old
1179,25-34 years old
1180,25-34 years old
1181,18-24 years old
1182,25-34 years old
1183,18-24 years old
1184,25-34 years old
1185,25-34 years old
1186,35-44 years old
1187,18-24 years old
1188,25-34 years old
1189,55-64 years old
1190,25-34 years old
1191,35-44 years old
1192,
1193,25-34 years old
1194,18-24 years old
1195,25-34 years old
1196,18-24 years old
1197,18-24 years old
1198,25-34 years old
1199,18-24 years old
1200,Under 18 years old
1201,35-44 years old
1202,25-34 years old
1203,25-34 years old
1204,
1205,18-24 years old
1206,18-24 years old
1207,
1208,18-24 years old
1209,35-44 years old
1210,25-34 years old
1211,18-24 years old
1212,55-64 years old
1213,45-54 years old
1214,25-34 years old
1215,18-24 years old
1216,18-24 years old
1217,25-34 years old
1218,25-34 years old
1219,25-34 years old
1220,25-34 years old
1221,25-34 years old
1222,45-54 years old
1223,18-24 years old
1224,35-44 years old
1225,35-44 years old
1226,35-44 years old
1227,Under 18 years old
1228,25-34 years old
1229,25-34 years old
1230,25-34 years old
1231,35-44 years old
1232,35-44 years old
1233,35-44 years old
1234,35-44 years old
1235,25-34 years old
1236,18-24 years old
1237,25-34 years old
1238,25-34 years old
1239,18-24 years old
1240,25-34 years old
1241,45-54 years old
1242,35-44 years old
1243,65 years or older
1244,18-24 years old
1245,25-34 years old
1246,18-24 years old
1247,45-54 years old
1248,25-34 years old
1249,Under 18 years old
1250,25-34 years old
1251,45-54 years old
1252,35-44 years old
1253,25-34 years old
1254,18-24 years old
1255,25-34 years old
1256,18-24 years old
1257,35-44 years old
1258,35-44 years old
1259,18-24 years old
1260,25-34 years old
1261,18-24 years old
1262,25-34 years old
1263,18-24 years old
1264,25-34 years old
1265,45-54 years old
1266,18-24 years old
1267,35-44 years old
1268,18-24 years old
1269,35-44 years old
1270,35-44 years old
1271,35-44 years old
1272,18-24 years old
1273,25-34 years old
1274,25-34 years old
1275,35-44 years old
1276,18-24 years old
1277,35-44 years old
1278,25-34 years old
1279,25-34 years old
1280,35-44 years old
1281,25-34 years old
1282,25-34 years old
1283,25-34 years old
1284,25-34 years old
1285,45-54 years old
1286,25-34 years old
1287,25-34 years old
1288,25-34 years old
1289,25-34 years old
1290,35-44 years old
1291,35-44 years old
1292,25-34 years old
1293,18-24 years old
1294,35-44 years old
1295,45-54 years old
1296,45-54 years old
1297,25-34 years old
1298,45-54 years old
1299,25-34 years old
1300,25-34 years old
1301,25-34 years old
1302,18-24 years old
1303,25-34 years old
1304,18-24 years old
1305,25-34 years old
1306,18-24 years old
1307,45-54 years old
1308,25-34 years old
1309,35-44 years old
1310,45-54 years old
1311,25-34 years old
1312,18-24 years old
1313,25-34 years old
1314,25-34 years old
1315,35-44 years old
1316,35-44 years old
1317,25-34 years old
1318,25-34 years old
1319,35-44 years old
1320,25-34 years old
1321,18-24 years old
1322,18-24 years old
1323,18-24 years old
1324,18-24 years old
1325,Under 18 years old
1326,25-34 years old
1327,25-34 years old
1328,18-24 years old
1329,25-34 years old
1330,18-24 years old
1331,35-44 years old
1332,35-44 years old
1333,25-34 years old
1334,45-54 years old
1335,25-34 years old
1336,25-34 years old
1337,18-24 years old
1338,25-34 years old
1339,Under 18 years old
1340,18-24 years old
1341,35-44 years old
1342,45-54 years old
1343,25-34 years old
1344,Under 18 years old
1345,25-34 years old
1346,25-34 years old
1347,25-34 years old
1348,18-24 years old
1349,25-34 years old
1350,18-24 years old
1351,Prefer not to say
1352,18-24 years old
1353,18-24 years old
1354,35-44 years old
1355,18-24 years old
1356,25-34 years old
1357,Under 18 years old
1358,25-34 years old
1359,25-34 years old
1360,35-44 years old
1361,25-34 years old
1362,25-34 years old
1363,25-34 years old
1364,35-44 years old
1365,25-34 years old
1366,25-34 years old
1367,25-34 years old
1368,35-44 years old
1369,25-34 years old
1370,35-44 years old
1371,18-24 years old
1372,18-24 years old
1373,25-34 years old
1374,25-34 years old
1375,18-24 years old
1376,Under 18 years old
1377,18-24 years old
1378,25-34 years old
1379,25-34 years old
1380,25-34 years old
1381,18-24 years old
1382,25-34 years old
1383,18-24 years old
1384,25-34 years old
1385,35-44 years old
1386,25-34 years old
1387,25-34 years old
1388,25-34 years old
1389,Under 18 years old
1390,18-24 years old
1391,18-24 years old
1392,55-64 years old
1393,25-34 years old
1394,25-34 years old
1395,25-34 years old
1396,45-54 years old
1397,45-54 years old
1398,25-34 years old
1399,Under 18 years old
1400,18-24 years old
1401,25-34 years old
1402,35-44 years old
1403,35-44 years old
1404,25-34 years old
1405,25-34 years old
1406,25-34 years old
1407,25-34 years old
1408,18-24 years old
1409,18-24 years old
1410,25-34 years old
1411,35-44 years old
1412,25-34 years old
1413,25-34 years old
1414,25-34 years old
1415,25-34 years old
1416,25-34 years old
1417,35-44 years old
1418,45-54 years old
1419,18-24 years old
1420,35-44 years old
1421,Under 18 years old
1422,45-54 years old
1423,18-24 years old
1424,35-44 years old
1425,18-24 years old
1426,18-24 years old
1427,18-24 years old
1428,25-34 years old
1429,18-24 years old
1430,25-34 years old
1431,18-24 years old
1432,Under 18 years old
1433,18-24 years old
1434,
1435,18-24 years old
1436,25-34 years old
1437,35-44 years old
1438,25-34 years old
1439,18-24 years old
1440,25-34 years old
1441,25-34 years old
1442,35-44 years old
1443,25-34 years old
1444,35-44 years old
1445,18-24 years old
1446,18-24 years old
1447,25-34 years old
1448,25-34 years old
1449,25-34 years old
1450,35-44 years old
1451,25-34 years old
1452,
1453,18-24 years old
1454,25-34 years old
1455,Under 18 years old
1456,25-34 years old
1457,35-44 years old
1458,25-34 years old
1459,Under 18 years old
1460,25-34 years old
1461,35-44 years old
1462,18-24 years old
1463,18-24 years old
1464,25-34 years old
1465,18-24 years old
1466,25-34 years old
1467,25-34 years old
1468,Prefer not to say
1469,18-24 years old
1470,35-44 years old
1471,25-34 years old
1472,18-24 years old
1473,18-24 years old
1474,25-34 years old
1475,25-34 years old
1476,25-34 years old
1477,25-34 years old
1478,25-34 years old
1479,35-44 years old
1480,25-34 years old
1481,25-34 years old
1482,25-34 years old
1483,18-24 years old
1484,25-34 years old
1485,25-34 years old
1486,25-34 years old
1487,18-24 years old
1488,35-44 years old
1489,35-44 years old
1490,25-34 years old
1491,35-44 years old
1492,35-44 years old
1493,25-34 years old
1494,45-54 years old
1495,18-24 years old
1496,25-34 years old
1497,25-34 years old
1498,25-34 years old
1499,35-44 years old
1500,18-24 years old
1501,35-44 years old
1502,18-24 years old
1503,18-24 years old
1504,25-34 years old
1505,55-64 years old
1506,
1507,35-44 years old
1508,35-44 years old
1509,18-24 years old
1510,25-34 years old
1511,35-44 years old
1512,25-34 years old
1513,35-44 years old
