,Country
345,United Kingdom of Great Britain and Northern Ireland
346,Germany
347,United States of America
348,United States of America
349,Canada
350,Viet Nam
351,Austria
352,Netherlands
353,Finland
354,Sweden
355,Australia
356,United States of America
357,United States of America
358,Thailand
359,United States of America
360,China
361,United States of America
362,Sweden
363,United States of America
364,United States of America
365,United States of America
366,United States of America
367,United States of America
368,United States of America
369,Germany
370,United States of America
371,France
372,United States of America
373,Brazil
374,Montenegro
375,India
376,Serbia
377,Brazil
378,Italy
379,Germany
380,United States of America
381,United States of America
382,United States of America
383,United Kingdom of Great Britain and Northern Ireland
384,Turkey
385,United States of America
386,Finland
387,United States of America
388,United Kingdom of Great Britain and Northern Ireland
389,United States of America
390,France
391,United States of America
392,Slovakia
393,Netherlands
394,United States of America
395,Ireland
396,Germany
397,United Kingdom of Great Britain and Northern Ireland
398,Montenegro
399,India
400,France
401,United States of America
402,Israel
403,United Kingdom of Great Britain and Northern Ireland
404,United States of America
405,United States of America
406,United States of America
407,United States of America
408,Japan
409,Serbia
410,Denmark
411,Germany
412,United States of America
413,United States of America
414,Sweden
415,United Kingdom of Great Britain and Northern Ireland
416,Spain
417,India
418,Portugal
419,United States of America
420,Germany
421,United States of America
422,United States of America
423,United States of America
424,Belgium
425,Canada
426,United States of America
427,United States of America
428,France
429,United States of America
430,France
431,Spain
432,United States of America
433,United Kingdom of Great Britain and Northern Ireland
434,United States of America
435,Germany
436,United States of America
437,United States of America
438,Germany
439,United Kingdom of Great Britain and Northern Ireland
440,United States of America
441,United States of America
442,China
443,United States of America
444,United States of America
445,Spain
446,Spain
447,United States of America
448,Germany
449,Germany
450,Germany
451,United States of America
452,Czech Republic
453,United Kingdom of Great Britain and Northern Ireland
454,United Kingdom of Great Britain and Northern Ireland
455,United States of America
456,United States of America
457,India
458,Sweden
459,Germany
460,United States of America
461,Italy
462,Brazil
463,Israel
464,Germany
465,United Kingdom of Great Britain and Northern Ireland
466,France
467,Canada
468,United States of America
469,United Kingdom of Great Britain and Northern Ireland
470,United States of America
471,Netherlands
472,United States of America
473,Netherlands
474,United States of America
475,Australia
476,United States of America
477,Austria
478,United Kingdom of Great Britain and Northern Ireland
479,Canada
480,Germany
481,Greece
482,United Kingdom of Great Britain and Northern Ireland
483,United States of America
484,Luxembourg
485,Czech Republic
486,Viet Nam
487,United States of America
488,United States of America
489,Netherlands
490,United States of America
491,Poland
492,United States of America
493,Netherlands
494,Germany
495,Turkey
496,Australia
497,United Kingdom of Great Britain and Northern Ireland
498,United States of America
499,United States of America
500,United States of America
501,Switzerland
502,United Kingdom of Great Britain and Northern Ireland
503,United States of America
504,Australia
505,Portugal
506,Finland
507,United States of America
508,Canada
509,Canada
510,United States of America
511,France
512,France
513,United States of America
514,United States of America
515,Canada
516,Turkmenistan
517,Germany
518,Israel
519,Uruguay
520,Finland
521,Portugal
522,Belgium
523,Canada
524,United Kingdom of Great Britain and Northern Ireland
525,India
526,Canada
527,United States of America
528,United Kingdom of Great Britain and Northern Ireland
529,France
530,United Kingdom of Great Britain and Northern Ireland
531,Denmark
532,United States of America
533,France
534,Canada
535,Canada
536,United Kingdom of Great Britain and Northern Ireland
537,Singapore
538,Portugal
539,United States of America
540,Canada
541,Spain
542,
543,United Kingdom of Great Britain and Northern Ireland
544,Argentina
545,United States of America
546,Hungary
547,United States of America
548,Germany
549,Germany
550,United States of America
551,Germany
552,Tunisia
553,United States of America
554,United States of America
555,France
556,United States of America
557,France
558,United States of America
559,United States of America
560,United States of America
561,Germany
562,United States of America
563,France
564,United Kingdom of Great Britain and Northern Ireland
565,United States of America
566,Netherlands
567,United States of America
568,Sweden
569,Belgium
570,India
571,United States of America
572,Poland
573,Germany
574,Australia
575,Spain
576,Hungary
577,United States of America
578,Canada
579,Canada
580,United States of America
581,France
582,United States of America
583,United Kingdom of Great Britain and Northern Ireland
584,Germany
585,United States of America
586,France
587,Canada
588,Canada
589,United States of America
590,United States of America
591,India
592,Netherlands
593,France
594,Denmark
595,United States of America
596,United States of America
597,Switzerland
598,China
599,United States of America
600,Turkey
601,United States of America
602,United States of America
603,India
604,United States of America
605,United Kingdom of Great Britain and Northern Ireland
606,United States of America
607,Italy
608,Finland
609,United States of America
610,United States of America
611,United States of America
612,United States of America
613,Switzerland
614,United States of America
615,Norway
616,Czech Republic
617,United States of America
618,United States of America
619,Finland
620,United Kingdom of Great Britain and Northern Ireland
621,United States of America
622,United Kingdom of Great Britain and Northern Ireland
623,Austria
624,South Africa
625,Australia
626,Israel
627,Canada
628,United Kingdom of Great Britain and Northern Ireland
629,Netherlands
630,Canada
631,United States of America
632,United Kingdom of Great Britain and Northern Ireland
633,Hungary
634,Poland
635,United States of America
636,Germany
637,United Kingdom of Great Britain and Northern Ireland
638,Netherlands
639,United States of America
640,Germany
641,Romania
642,United Kingdom of Great Britain and Northern Ireland
643,Canada
644,Denmark
645,Bangladesh
646,United States of America
647,Romania
648,Austria
649,Canada
650,United States of America
651,Canada
652,Germany
653,Belgium
654,United Kingdom of Great Britain and Northern Ireland
655,United States of America
656,Norway
657,Germany
658,United States of America
659,United States of America
660,United States of America
661,Israel
662,Brazil
663,United States of America
664,United States of America
665,United States of America
666,United States of America
667,Ukraine
668,Maldives
669,Spain
670,United States of America
671,United States of America
672,Australia
673,United States of America
674,United States of America
675,United States of America
676,Singapore
677,Turkey
678,Canada
679,United States of America
680,United States of America
681,Norway
682,Dominican Republic
683,Germany
684,United States of America
685,Canada
686,Lithuania
687,Czech Republic
688,Chile
689,United States of America
690,China
691,United States of America
692,United States of America
693,United States of America
694,Germany
695,Thailand
696,Poland
697,Poland
698,Germany
699,United Kingdom of Great Britain and Northern Ireland
700,Iraq
701,Russian Federation
702,United States of America
703,Netherlands
704,Austria
705,
706,United States of America
707,United States of America
708,United Kingdom of Great Britain and Northern Ireland
709,United States of America
710,Czech Republic
711,Germany
712,United States of America
713,Netherlands
714,Belgium
715,Poland
716,India
717,United States of America
718,United States of America
719,Slovakia
720,Denmark
721,United States of America
722,France
723,Germany
724,United States of America
725,Germany
726,Canada
727,Canada
728,France
729,Hong Kong (S.A.R.)
730,United Kingdom of Great Britain and Northern Ireland
731,Germany
732,Canada
733,Netherlands
734,United States of America
735,Spain
736,United States of America
737,United States of America
738,United States of America
739,Italy
740,United States of America
741,Sweden
742,Germany
743,India
744,Australia
745,Spain
746,Romania
747,Germany
748,United States of America
749,Spain
750,United States of America
751,Canada
752,Canada
753,Brazil
754,France
755,Russian Federation
756,Spain
757,United Kingdom of Great Britain and Northern Ireland
758,United States of America
759,United States of America
760,United Kingdom of Great Britain and Northern Ireland
761,Russian Federation
762,Mexico
763,United States of America
764,United States of America
765,United States of America
766,Brazil
767,United Kingdom of Great Britain and Northern Ireland
768,Norway
769,Austria
770,Germany
771,United Kingdom of Great Britain and Northern Ireland
772,Hungary
773,United States of America
774,United Kingdom of Great Britain and Northern Ireland
775,United States of America
776,Belgium
777,Norway
778,Switzerland
779,Austria
780,United States of America
781,United States of America
782,India
783,Denmark
784,United States of America
785,Sweden
786,Sweden
787,United States of America
788,United Kingdom of Great Britain and Northern Ireland
789,France
790,United Kingdom of Great Britain and Northern Ireland
791,United States of America
792,Canada
793,United States of America
794,United States of America
795,United States of America
796,United States of America
797,Romania
798,United States of America
799,Netherlands
800,Australia
801,Poland
802,Egypt
803,Czech Republic
804,Switzerland
805,Czech Republic
806,United States of America
807,France
808,Bangladesh
809,United Kingdom of Great Britain and Northern Ireland
810,Germany
811,Denmark
812,United States of America
813,Canada
814,United States of America
815,United States of America
816,Thailand
817,United States of America
818,United States of America
819,Germany
820,United States of America
821,Denmark
822,Germany
823,Germany
824,Bangladesh
825,United States of America
826,United States of America
827,Finland
828,France
829,Serbia
830,Finland
831,Israel
832,France
833,Sweden
834,Canada
835,Canada
836,United States of America
837,Poland
838,United Kingdom of Great Britain and Northern Ireland
839,United States of America
840,United Kingdom of Great Britain and Northern Ireland
841,United Kingdom of Great Britain and Northern Ireland
842,United States of America
843,United States of America
844,Brazil
845,Italy
846,United States of America
847,Egypt
848,Jordan
849,United States of America
850,United States of America
851,Austria
852,Spain
853,India
854,United States of America
855,United States of America
856,United Kingdom of Great Britain and Northern Ireland
857,United States of America
858,United States of America
859,United States of America
860,United States of America
861,United States of America
862,Canada
863,United States of America
864,United States of America
865,Canada
866,Netherlands
867,Canada
868,United States of America
869,Sweden
870,United States of America
871,United States of America
872,United States of America
873,Canada
874,United States of America
875,Denmark
876,United States of America
877,United Kingdom of Great Britain and Northern Ireland
878,United States of America
879,United States of America
880,Norway
881,United States of America
882,United States of America
883,United Kingdom of Great Britain and Northern Ireland
884,United States of America
885,United Kingdom of Great Britain and Northern Ireland
886,France
887,France
888,Germany
889,Brazil
890,United States of America
891,United States of America
892,United States of America
893,United States of America
894,Poland
895,United States of America
896,United Kingdom of Great Britain and Northern Ireland
897,Singapore
898,Germany
899,United States of America
900,Germany
901,Canada
902,United Kingdom of Great Britain and Northern Ireland
903,Germany
904,Switzerland
905,Germany
906,Greece
907,India
908,United States of America
909,Jordan
910,Czech Republic
911,United States of America
912,Germany
913,Canada
914,United Kingdom of Great Britain and Northern Ireland
915,United States of America
916,Pakistan
917,Norway
918,Germany
919,Nepal
920,United States of America
921,France
922,Canada
923,United Kingdom of Great Britain and Northern Ireland
924,Italy
925,United States of America
926,Germany
927,United States of America
928,United States of America
929,Italy
930,United States of America
931,Germany
932,United States of America
933,France
934,United States of America
935,United Kingdom of Great Britain and Northern Ireland
936,Belgium
937,India
938,Poland
939,United States of America
940,Sweden
941,India
942,Spain
943,United States of America
944,Norway
945,United States of America
946,Hungary
947,United States of America
948,United States of America
949,United States of America
950,United States of America
951,Denmark
952,Hong Kong (S.A.R.)
953,Hungary
954,United Kingdom of Great Britain and Northern Ireland
955,Switzerland
956,Hungary
957,Denmark
958,Australia
959,India
960,"Iran, Islamic Republic of..."
961,Israel
962,Germany
963,United States of America
964,Italy
965,Argentina
966,United States of America
967,Egypt
968,France
969,Poland
970,United States of America
971,United States of America
972,United Kingdom of Great Britain and Northern Ireland
973,Netherlands
974,Canada
975,France
976,United States of America
977,United Kingdom of Great Britain and Northern Ireland
978,Netherlands
979,United States of America
980,Belgium
981,Netherlands
982,United States of America
983,United States of America
984,United States of America
985,Finland
986,India
987,United States of America
988,Spain
989,Israel
990,Germany
991,Russian Federation
992,Denmark
993,Sweden
994,Germany
995,United States of America
996,United States of America
997,United States of America
998,United States of America
999,Poland
1000,Hungary
1001,United States of America
1002,United States of America
1003,Germany
1004,France
1005,United States of America
1006,United States of America
1007,Croatia
1008,Indonesia
1009,United States of America
1010,Denmark
1011,Brazil
1012,Czech Republic
1013,United States of America
1014,Hungary
1015,Canada
1016,Ireland
1017,Canada
1018,United States of America
1019,India
1020,Ukraine
1021,United States of America
1022,Germany
1023,Canada
1024,Germany
1025,Denmark
1026,Ecuador
1027,France
1028,United States of America
1029,Russian Federation
1030,Canada
1031,Canada
1032,Finland
1033,Israel
1034,South Africa
1035,India
1036,United States of America
1037,Brazil
1038,United States of America
1039,United States of America
1040,United States of America
1041,United States of America
1042,Croatia
1043,United States of America
1044,Sweden
1045,India
1046,Canada
1047,Portugal
1048,Poland
1049,United States of America
1050,United States of America
1051,United States of America
1052,United Kingdom of Great Britain and Northern Ireland
1053,United Kingdom of Great Britain and Northern Ireland
1054,Belgium
1055,Germany
1056,Canada
1057,United States of America
1058,United States of America
1059,United States of America
1060,Bosnia and Herzegovina
1061,India
1062,Israel
1063,United States of America
1064,India
1065,Germany
1066,United States of America
1067,United Kingdom of Great Britain and Northern Ireland
1068,Italy
1069,Canada
1070,United States of America
1071,United States of America
1072,Spain
1073,South Africa
1074,United States of America
1075,Portugal
1076,United States of America
1077,Czech Republic
1078,Germany
1079,Canada
1080,United Kingdom of Great Britain and Northern Ireland
1081,Switzerland
1082,Spain
1083,United Kingdom of Great Britain and Northern Ireland
1084,Canada
1085,Canada
1086,Germany
1087,Spain
1088,United States of America
1089,United Kingdom of Great Britain and Northern Ireland
1090,United Kingdom of Great Britain and Northern Ireland
1091,United States of America
1092,India
1093,"Iran, Islamic Republic of..."
1094,Romania
1095,Norway
1096,Czech Republic
1097,United States of America
1098,Sweden
1099,Netherlands
1100,United States of America
1101,Italy
1102,United Kingdom of Great Britain and Northern Ireland
1103,United States of America
1104,United States of America
1105,United States of America
1106,Brazil
1107,Armenia
1108,Brazil
1109,United States of America
1110,France
1111,United States of America
1112,Netherlands
1113,United States of America
1114,Norway
1115,United States of America
1116,France
1117,
1118,United States of America
1119,Canada
1120,United States of America
1121,Canada
1122,Germany
1123,Canada
1124,Poland
1125,Bangladesh
1126,Lithuania
1127,United States of America
1128,India
1129,United States of America
1130,Sweden
1131,Brazil
1132,India
1133,United States of America
1134,United States of America
1135,Kenya
1136,United States of America
1137,United States of America
1138,Sweden
1139,United States of America
1140,Finland
1141,United States of America
1142,
1143,Sweden
1144,Switzerland
1145,United States of America
1146,Germany
1147,Germany
1148,
1149,United States of America
1150,Austria
1151,Denmark
1152,Poland
1153,Netherlands
1154,United States of America
1155,United States of America
1156,France
1157,Canada
1158,Greece
1159,Hungary
1160,Germany
1161,United States of America
1162,United States of America
1163,Canada
1164,Denmark
1165,Czech Republic
1166,United States of America
1167,South Africa
1168,United States of America
1169,Canada
1170,United States of America
1171,United States of America
1172,Austria
1173,Hungary
1174,United States of America
1175,United States of America
1176,United States of America
1177,United States of America
1178,United States of America
1179,United States of America
1180,Canada
1181,United States of America
1182,Finland
1183,United States of America
1184,India
1185,United States of America
1186,United States of America
1187,Italy
1188,Canada
1189,United States of America
1190,Israel
1191,Sweden
1192,Canada
1193,United States of America
1194,Brazil
1195,United Kingdom of Great Britain and Northern Ireland
1196,United States of America
1197,United States of America
1198,Pakistan
1199,Poland
1200,United States of America
1201,Sweden
1202,Finland
1203,Mexico
1204,
1205,Denmark
1206,Viet Nam
1207,India
1208,United Kingdom of Great Britain and Northern Ireland
1209,"Iran, Islamic Republic of..."
1210,United States of America
1211,Austria
1212,United States of America
1213,Sweden
1214,Italy
1215,United States of America
1216,United States of America
1217,United States of America
1218,United States of America
1219,Austria
1220,United Kingdom of Great Britain and Northern Ireland
1221,United Kingdom of Great Britain and Northern Ireland
1222,United States of America
1223,Germany
1224,Canada
1225,United States of America
1226,United States of America
1227,United Kingdom of Great Britain and Northern Ireland
1228,United States of America
1229,United States of America
1230,France
1231,Canada
1232,United States of America
1233,Canada
1234,Canada
1235,France
1236,Germany
1237,Israel
1238,United Kingdom of Great Britain and Northern Ireland
1239,Germany
1240,Netherlands
1241,Italy
1242,Canada
1243,United States of America
1244,United States of America
1245,United States of America
1246,Brazil
1247,Israel
1248,Canada
1249,Germany
1250,United States of America
1251,France
1252,United States of America
1253,United States of America
1254,India
1255,Canada
1256,Sweden
1257,Turkey
1258,United States of America
1259,United Kingdom of Great Britain and Northern Ireland
1260,United States of America
1261,Serbia
1262,United States of America
1263,United States of America
1264,United States of America
1265,Germany
1266,Colombia
1267,Germany
1268,France
1269,United States of America
1270,United States of America
1271,United States of America
1272,Kazakhstan
1273,Denmark
1274,Spain
1275,Israel
1276,Belarus
1277,United Kingdom of Great Britain and Northern Ireland
1278,Bangladesh
1279,Canada
1280,Sweden
1281,Greece
1282,Serbia
1283,India
1284,United States of America
1285,United States of America
1286,United States of America
1287,Denmark
1288,South Korea
1289,United Kingdom of Great Britain and Northern Ireland
1290,United States of America
1291,United States of America
1292,Bangladesh
1293,United States of America
1294,United States of America
1295,Germany
1296,United States of America
1297,Germany
1298,United States of America
1299,United States of America
1300,Germany
1301,Turkey
1302,India
1303,United States of America
1304,Canada
1305,Russian Federation
1306,France
1307,Canada
1308,United States of America
1309,Germany
1310,United Kingdom of Great Britain and Northern Ireland
1311,Norway
1312,Argentina
1313,Netherlands
1314,United States of America
1315,United States of America
1316,Canada
1317,United Kingdom of Great Britain and Northern Ireland
1318,Canada
1319,United States of America
1320,Norway
1321,United States of America
1322,United Kingdom of Great Britain and Northern Ireland
1323,United States of America
1324,United States of America
1325,Thailand
1326,Poland
1327,Canada
1328,Brazil
1329,United States of America
1330,Canada
1331,United Kingdom of Great Britain and Northern Ireland
1332,Norway
1333,United States of America
1334,United States of America
1335,Costa Rica
1336,United States of America
1337,"Iran, Islamic Republic of..."
1338,United States of America
1339,United Kingdom of Great Britain and Northern Ireland
1340,United States of America
1341,United Kingdom of Great Britain and Northern Ireland
1342,United Kingdom of Great Britain and Northern Ireland
1343,Germany
1344,Germany
1345,Costa Rica
1346,Greece
1347,United States of America
1348,Germany
1349,Germany
1350,Israel
1351,United States of America
1352,Switzerland
1353,Sweden
1354,United States of America
1355,Costa Rica
1356,Serbia
1357,Bosnia and Herzegovina
1358,Sweden
1359,India
1360,Canada
1361,United States of America
1362,France
1363,India
1364,United States of America
1365,United States of America
1366,Norway
1367,India
1368,United States of America
1369,United States of America
1370,Canada
1371,Denmark
1372,France
1373,Norway
1374,Sweden
1375,Israel
1376,Canada
1377,Canada
1378,Canada
1379,United States of America
1380,United States of America
1381,Poland
1382,United States of America
1383,United States of America
1384,Romania
1385,Greece
1386,Norway
1387,Germany
1388,Greece
1389,Honduras
1390,Pakistan
1391,Austria
1392,United States of America
1393,United States of America
1394,United States of America
1395,Lithuania
1396,Mauritius
1397,France
1398,Canada
1399,India
1400,Poland
1401,United Kingdom of Great Britain and Northern Ireland
1402,Bangladesh
1403,United States of America
1404,Australia
1405,Germany
1406,France
1407,United States of America
1408,United States of America
1409,Netherlands
1410,Germany
1411,Hungary
1412,Germany
1413,Switzerland
1414,Ukraine
1415,Turkey
1416,Sweden
1417,United States of America
1418,United States of America
1419,Serbia
1420,Sweden
1421,United States of America
1422,Spain
1423,United States of America
1424,United Kingdom of Great Britain and Northern Ireland
1425,United States of America
1426,India
1427,United Kingdom of Great Britain and Northern Ireland
1428,Norway
1429,Colombia
1430,Finland
1431,Czech Republic
1432,Germany
1433,Poland
1434,
1435,United Kingdom of Great Britain and Northern Ireland
1436,Denmark
1437,France
1438,United States of America
1439,Italy
1440,Estonia
1441,France
1442,United States of America
1443,United States of America
1444,United States of America
1445,Norway
1446,United States of America
1447,Thailand
1448,France
1449,United States of America
1450,United Kingdom of Great Britain and Northern Ireland
1451,United States of America
1452,United States of America
1453,Algeria
1454,Sweden
1455,Austria
1456,United States of America
1457,United States of America
1458,United Kingdom of Great Britain and Northern Ireland
1459,India
1460,Hungary
1461,United States of America
1462,United Kingdom of Great Britain and Northern Ireland
1463,United States of America
1464,Canada
1465,Germany
1466,Belgium
1467,Germany
1468,United States of America
1469,United States of America
1470,Germany
1471,India
1472,United States of America
1473,France
1474,Poland
1475,Germany
1476,Germany
1477,Mexico
1478,United Kingdom of Great Britain and Northern Ireland
1479,France
1480,Poland
1481,United States of America
1482,United States of America
1483,Hungary
1484,United States of America
1485,United States of America
1486,United States of America
1487,Trinidad and Tobago
1488,Brazil
1489,United States of America
1490,Canada
1491,United States of America
1492,United States of America
1493,Sweden
1494,France
1495,United States of America
1496,France
1497,United States of America
1498,United States of America
1499,Sweden
1500,United States of America
1501,United States of America
1502,India
1503,United States of America
1504,Brazil
1505,United States of America
1506,
1507,United States of America
1508,Switzerland
1509,France
1510,Canada
1511,Denmark
1512,Kazakhstan
1513,United States of America
1514,United States of America
1515,Canada
1516,United States of America
1517,United States of America
1518,India
1519,Argentina
1520,Netherlands
1521,United Kingdom of Great Britain and Northern Ireland
1522,France
1523,Canada
1524,United States of America
1525,United States of America
1526,Mali
1527,United States of America
1528,United States of America
1529,United States of America
1530,United States of America
1531,Czech Republic
1532,United Kingdom of Great Britain and Northern Ireland
1533,Canada
1534,Netherlands
1535,Belgium
1536,Trinidad and Tobago
1537,Israel
1538,Denmark
1539,Argentina
1540,Canada
1541,United States of America
1542,United Kingdom of Great Britain and Northern Ireland
1543,United States of America
1544,United Kingdom of Great Britain and Northern Ireland
1545,Estonia
1546,United States of America
1547,United States of America
1548,United States of America
1549,Greece
1550,Germany
1551,United Kingdom of Great Britain and Northern Ireland
1552,United Kingdom of Great Britain and Northern Ireland
1553,Sweden
1554,Poland
1555,Finland
1556,United States of America
1557,Germany
1558,Netherlands
1559,United States of America
1560,United Kingdom of Great Britain and Northern Ireland
1561,India
1562,United States of America
1563,Germany
1564,India
1565,United States of America
1566,United Kingdom of Great Britain and Northern Ireland
1567,United States of America
1568,Netherlands
1569,Finland
1570,United States of America
1571,Netherlands
1572,United States of America
1573,United States of America
1574,Netherlands
1575,Norway
1576,India
1577,United States of America
1578,United States of America
1579,Morocco
1580,United States of America
1581,Bangladesh
1582,United States of America
1583,Russian Federation
1584,United States of America
1585,Denmark
1586,Philippines
1587,United States of America
1588,Denmark
1589,United States of America
1590,Germany
1591,United States of America
1592,South Africa
1593,Slovakia
1594,United States of America
1595,Switzerland
1596,Netherlands
1597,Hungary
1598,Poland
1599,United States of America
1600,South Africa
1601,Germany
1602,United States of America
1603,United States of America
1604,Germany
1605,Slovakia
1606,India
1607,
1608,United States of America
1609,United States of America
1610,United States of America
1611,Brazil
1612,Croatia
1613,Netherlands
1614,Israel
1615,United States of America
1616,Germany
1617,United Kingdom of Great Britain and Northern Ireland
1618,United States of America
1619,United Kingdom of Great Britain and Northern Ireland
1620,Germany
1621,Switzerland
1622,United States of America
1623,Germany
1624,United States of America
1625,Austria
1626,Turkey
1627,United Kingdom of Great Britain and Northern Ireland
1628,Denmark
1629,United States of America
1630,Canada
1631,Finland
1632,Croatia
1633,United States of America
1634,United States of America
1635,Italy
1636,Denmark
1637,Netherlands
1638,Germany
1639,Germany
1640,United Kingdom of Great Britain and Northern Ireland
1641,Germany
1642,United Kingdom of Great Britain and Northern Ireland
1643,United States of America
1644,Armenia
1645,United States of America
1646,Netherlands
1647,Poland
1648,United States of America
1649,United States of America
1650,United Kingdom of Great Britain and Northern Ireland
1651,Belgium
1652,Germany
1653,Bosnia and Herzegovina
